Source,Target,Direction
100182356,397411942,Directed
100182356,4539355517,Directed
100182356,117439544,Directed
100182356,818910970567344128,Directed
100182356,2884700813,Directed
100182356,3069707643,Directed
100182356,18267548,Directed
100182356,20536157,Directed
100182356,63029891,Directed
100182356,1649772690,Directed
100182356,82876508,Directed
100182356,4349627307,Directed
100182356,1545994664,Directed
100182356,782831973635067904,Directed
100182356,25073877,Directed
100182356,927320767,Directed
100182356,44196397,Directed
100182356,4867110669,Directed
100182356,1222716350,Directed
100182356,849913901340864512,Directed
100182356,592685597,Directed
100182356,2397872018,Directed
100182356,1346168804,Directed
100182356,1857059065,Directed
100182356,988480694,Directed
100182356,3429950987,Directed
100182356,66369181,Directed
100182356,16560900,Directed
100182356,3192429731,Directed
100182356,45550670,Directed
100182356,90350594,Directed
100182356,813286,Directed
100182356,768803944332156928,Directed
100182356,1513753944,Directed
100182356,362411242,Directed
100182356,22692199,Directed
100182356,2467791,Directed
100182356,2260681322,Directed
100182356,95894008,Directed
100182356,969978259885740035,Directed
100182356,848243562,Directed
100182356,16895274,Directed
100182356,50133292,Directed
100182356,343547812,Directed
100182356,22203756,Directed
100182356,110550041,Directed
100182356,54645160,Directed
100182356,3028219306,Directed
100182356,52661430,Directed
100182356,1278065066,Directed
100182356,3093574042,Directed
100182356,41012588,Directed
100182356,1347723151,Directed
100182356,2097571,Directed
100182356,103065157,Directed
100182356,966244099350302720,Directed
100182356,855031989522616321,Directed
100182356,1059463919465586693,Directed
100182356,115749048,Directed
100182356,202086424,Directed
100182356,4919463471,Directed
100182356,428333,Directed
100182356,97229903,Directed
100182356,925418046075883522,Directed
100182356,534623649,Directed
100182356,409486555,Directed
100182356,87818409,Directed
100182356,223430081,Directed
100182356,471452342,Directed
100182356,311583638,Directed
100182356,1199295902,Directed
100182356,742971161185820672,Directed
100182356,977112482,Directed
100182356,350770729,Directed
100182356,2979632800,Directed
100182356,344828991,Directed
100182356,93027566,Directed
100182356,742143,Directed
100182356,3256728820,Directed
100182356,3511430425,Directed
100182356,2419140080,Directed
100182356,209811713,Directed
100182356,3113971553,Directed
100182356,103005548,Directed
100182356,935603159669575680,Directed
100182356,95292874,Directed
100182356,138048156,Directed
100182356,903266646030209024,Directed
100182356,18066440,Directed
100182356,347228796,Directed
100182356,233559196,Directed
100182356,64759001,Directed
100182356,4732722143,Directed
100182356,850288345204895744,Directed
100182356,936162336993435648,Directed
100182356,1876856960,Directed
100182356,782091012835606528,Directed
100182356,2647585539,Directed
100182356,777135577879678981,Directed
100182356,2359926157,Directed
100182356,333888198,Directed
100182356,2383088793,Directed
